alim_nom_eng,Beta-carotene (µg/100g),Calcium (mg/100g),Carbohydrate (g/100g),Chloride (mg/100g),Chrome (μg/100g),Copper (mg/100g),"Energy, Regulation EU No 1169/2011 (kJ/100g)","Energy, Regulation EU No 1169/2011 (kcal/100g)",FA mono (g/100g),FA poly (g/100g),FA saturated (g/100g),Fat (g/100g),Fibres (g/100g),Iodine (µg/100g),Iron (mg/100g),Magnesium (mg/100g),Manganese (mg/100g),Minéraux  (g/100g),Molybdène (μg/100g),Phosphorus (mg/100g),Polyphénols  (eq phloroglucinol),Potassium  (mg/100g),"Protein, crude, N x 6.25 (g/100g)",Selenium (µg/100g),Sodium (mg/100g),Sugars (g/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B12 (µg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin C (mg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),VitamineA (eqrétinol) (mg/100g),VitamineB8ouHouBiotine (μg/100g),Water (g/100g),Zinc (mg/100g)
"Atlantic wakame (Alaria esculenta), dried or dehydrated",9600,771,13.3,5825,209.9,0.3,843,202,0.23,0.85,0.31,1.5,42.9,362000,44.6,931,1.9,21.3,47.7,223,1,4310,12.2,25.4,3652,0.04,0.01,2,0.08,4,nd,0.1,429.2,65,nd,3.1,498.1,nd,nd,8.7,2.4
"Bladder wrack (Fucus vesiculosus), dehydrated",0,1256,14.9,nd,319.8,0.5,825,197,0.15,0.28,0.19,2.1,46.7,40500,13.1,872,11.7,20.7,43.1,100,5.9,3107,6.4,49.4,3477,nd,nd,nd,nd,nd,nd,nd,nd,42,nd,13,nd,nd,44.7,9.2,6.9
"Carragheen mosses (Chondrus crispus), dried or dehydrated",1500,911,15,4036,124.9,0.4,901,215,0.07,0.28,0.15,1.9,35.5,31300,18.1,1112,4.1,18.1,nd,159,0.34,2304,16.7,13,3289,0.4,0,1,0.1,2,nd,0.4,141.9,61.6,nd,3.5,153,0,nd,12.7,7
"Dulse (Palmaria palmata), dried or dehydrated",11000,577,20.8,8368,399.7,1,924,221,nd,nd,0.26,1.3,29.2,229000,29.3,264,9,24.3,41.6,250,0.4,7019,16.9,9.4,1873,0.02,0.2,4.6,0.3,3.6,0.4,0.2,295.3,46.9,0.9,4.1,467,0,11.7,7.6,4
"Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",1900,770,23.4,5410,279.5,0.6,968,232,0.04,0.09,0.14,1.8,25.4,355800,36,420,32,21.6,144,221,0.19,4977,17.8,192.7,2856,nd,nd,nd,nd,nd,nd,nd,nd,27.2,nd,0.9,nd,nd,2.7,10,3.9
"Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated",2000,811,24.9,7256,164.2,0.1,929,222,0.23,0.75,0.72,2.6,34.1,232800,13,1030,0.5,19.2,135.9,654,nd,10360,7.9,134.5,2448,nd,0.2,nd,0.4,1.5,nd,0.1,124,14.77,0,nd,nd,0.43,nd,11.4,1.2
"Laver (Porphyra sp.), dried or dehydrated",18000.0,440.0,11.7,1798.0,150.7,1.0,1075.0,257.0,0.1,1.2,0.5,1.8,36.8,5600.0,36.4,480.0,3.9,12.8,27.0,491.0,0.4,1762.0,30.2,41.1,1900.0,0.0,0.5,27.2,1.8,6.3,0.25,0.5,31.8,63.9,0.6,3.1,225.0,0.06,7.0,6.7,4.3
"North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",3800,1601,16.3,3079,96.1,0.7,863,207,0.19,0.19,0.11,2.7,43.6,68600,19.3,831,2.3,19.3,76.3,94,4,2144,7.4,5.7,2871,nd,0.3,nd,0.7,1.9,0.02,nd,22.68,89.4,1,14,1018,nd,18.46,10.7,6
"Sea belt (Saccharina latissima), dried or dehydrated",3000,838,23.1,9132,139.2,0.4,856,205,0.13,0.23,0.21,1.4,30.2,410000,24.1,749,1,28.2,54.1,174,0.4,5912,9.9,64.8,3301,0.23,0.1,2.6,0.1,2.1,nd,0.2,164,31.6,1.3,4.3,244,0.05,nd,7.2,2.3
"Sea lettuce (Enteromorpha sp.), dried or dehydrated",1000,1554,19.5,3350,580,1.2,941,225,0.32,0.61,0.55,2.5,35.1,9900,205,2257,16.5,21.4,156.4,860,0.1,1811,13.6,15.4,4090,1.3,0.3,31.9,1.1,4.8,nd,nd,27.3,48.8,0,8.5,8,0.4,nd,8,5.5
"Sea lettuce (ulva sp.), dried or dehydrated)",2320.0,1134.0,13.8,5472.0,404.5,1.3,848.0,203.0,0.27,0.53,0.47,1.9,33.5,8500.0,70.9,2663.0,5.6,23.1,176.5,173.0,0.5,1960.0,15.7,12.2,2250.0,0.22,0.1,13.6,0.2,5.8,0.15,0.3,102.3,68.9,1.29,2.46,18.0,0.18,0.01,11.9,3.4
"Sea thong (Himanthalia elongata), dried or dehydrated",6000,803,26.4,12119,68,0.2,950,227,nd,nd,0.25,2.3,30.8,9000,2.1,1054,2.1,22.5,2.8,104,2.26,6773,9.9,5.9,3570,0.03,0.1,0.6,0.2,1.9,nd,0.1,83.5,120.5,0.3,6.6,173,0.05,34,8.1,4.2
"Tangle (Laminaria digitata), dried or dehydrated",1000,918,22.9,14733,112.2,0.5,882,211,0.09,0.26,0.15,1,37.3,458800,10.5,770,0.4,23.8,23,520,0.1,4639,8.9,6.1,3211,nd,nd,nd,nd,3,nd,nd,nd,11.1,2.3,0.3,nd,0.02,32.9,6.1,5
"Toothed wrack (Fucus serratus), dehydrated",nd,1187,25.8,nd,152.9,0.3,927,222,nd,nd,nd,1.2,30.8,40500,14.5,661,14.3,20.7,58.5,88,3.1,2654,11.5,10.8,3238,nd,nd,nd,nd,1.7,nd,nd,nd,nd,nd,15,nd,nd,53.4,10.1,12
"Wakame (Undaria pinnatifida), dried or dehydrated",3000.0,963.0,8.7,11173.0,147.5,0.2,775.0,185.0,0.17,1.01,0.21,2.3,36.9,18000.0,15.5,1088.0,0.7,28.1,12.0,324.0,0.48,6737.0,14.0,50.3,5154.0,0.02,0.3,2.4,0.6,7.9,0.16,0.2,255.6,36.2,0.0,1.4,491.0,0.44,17.1,10.0,2.0
