Nom vernaculaire;Nom scientifique;Type d’algue;Couleur;Inclusion;Iode
Wakamé atlantique ou Wakamé irlandais;Alaria esculenta;brune;#E58005;0;36,2
Ascophylle noueux ou Goémon noir;Ascophyllum nodosum;brune;#E58005;0;68,5
Fucus vésiculeux;Fucus vesiculosus;brune;#E58005;0;40,5
Varech dentelé;Fucus serratus;brune;#E58005;0;40,5
Fucus;Fucus spp.;brune;#E58005;1;42,0
Spaghetti de mer ou Haricot de mer;Himanthalia elongata;brune;#E58005;1;9,0
Kombu breton;Laminaria digitata;brune;#E58005;0;458,8
Kombu royal;Saccharina latissima;brune;#E58005;1;410,0
Kombu;Saccharina japonica;brune;#E58005;0;179,0
Wakamé;Undaria pinnatifida;brune;#E58005;1;18,0
Dulse;Palmaria palmata;rouge;#990456;1;22,9
Nori;Porphyra (Pyropia) spp.;rouge;#990456;1;5,6
Pioca ou Lichen ou Goémon rouge;Chondrus crispus;rouge;#990456;0;31,3
Ogonori;Gracilaria spp.;rouge;#990456;0;355,8
Maërl;Phymatolithon calcareum;rouge;#990456;0;3,1
Ulve ou Laitue de mer;Ulva spp.;verte;#107069;1;8,5
Ao-nori;Ulva spp. (ex Enteromorpha spp.);verte;#107069;1;9,9
