Nom vernaculaire;Nom scientifique;Type d’algue;Couleur;Inclusion;Iode;1 gramme d’algue;2 grammes d’algue;5 grammes d’algue
Wakamé atlantique ou Wakamé irlandais;Alaria esculenta;brune;#E58005;0;36,2;362,0;724,0;1810,0
Ascophylle noueux ou Goémon noir;Ascophyllum nodosum;brune;#E58005;0;68,5;685,0;1370,0;3425,0
Fucus vésiculeux;Fucus vesiculosus;brune;#E58005;0;40,5;405,0;810,0;2025,0
Varech dentelé;Fucus serratus;brune;#E58005;0;40,5;405,0;810,0;2025,0
Fucus;Fucus spp.;brune;#E58005;0;42,0;420,0;840,0;2100,0
Spaghetti de mer ou Haricot de mer;Himanthalia elongata;brune;#E58005;1;9,0;90,0;180,0;450,0
Kombu breton;Laminaria digitata;brune;#E58005;0;458,8;4588,0;9176,0;22940,0
Kombu royal;Saccharina latissima;brune;#E58005;0;410,0;4100,0;8200,0;20500,0
Kombu;Saccharina japonica;brune;#E58005;0;179,0;1790,0;3580,0;8950,0
Wakamé;Undaria pinnatifida;brune;#E58005;0;18,0;180,0;360,0;900,0
Dulse;Palmaria palmata;rouge;#990456;0;22,9;229,0;458,0;1145,0
Nori;Porphyra (Pyropia) spp.;rouge;#990456;1;5,6;56,0;112,0;280,0
Pioca ou Lichen ou Goémon rouge;Chondrus crispus;rouge;#990456;0;31,3;313,0;626,0;1565,0
Ogonori;Gracilaria spp.;rouge;#990456;0;355,8;3558,0;7116,0;17790,0
Maërl;Phymatolithon calcareum;rouge;#990456;0;3,1;31,0;62,0;155,0
Ulve ou Laitue de mer;Ulva spp.;verte;#107069;1;8,5;85,0;170,0;425,0
Ao-nori;Ulva spp. (ex Enteromorpha spp.);verte;#107069;0;9,9;99,0;198,0;495,0
