Nom vernaculaire;Nom scientifique;Type d’algue;Couleur;Inclusion;Fibres;Minéraux;Glucides;Protéines;Eau;Lipides;Polyphénols
Wakamé atlantique ou Wakamé irlandais;Alaria esculenta;brune;#E58005;0;42,9;21,3;13,3;12,2;8,7;1,5;1,0
Ascophylle noueux ou Goémon noir;Ascophyllum nodosum;brune;#E58005;0;43,6;19,3;16,3;7,4;10,7;2,7;4,0
Fucus vésiculeux;Fucus vesiculosus;brune;#E58005;0;46,7;20,7;14,9;6,4;9,2;2,1;5,9
Varech dentelé;Fucus serratus;brune;#E58005;0;30,8;20,7;25,8;11,5;9,2;1,2;3,1
Fucus;Fucus spp.;brune;#E58005;1;46,3;21,2;12,4;9,1;9,2;1,7;4,2
Spaghetti de mer ou Haricot de mer;Himanthalia elongata;brune;#E58005;1;30,8;22,5;26,4;9,9;8,1;2,3;2,3
Kombu breton;Laminaria digitata;brune;#E58005;0;37,3;23,8;22,9;8,9;6,1;1,0;0,1
Kombu royal;Saccharina latissima;brune;#E58005;1;30,2;28,2;23,1;9,9;7,2;1,4;0,4
Kombu;Saccharina japonica;brune;#E58005;0;34,1;19,2;24,9;7,9;11,4;2,6;
Wakamé;Undaria pinnatifida;brune;#E58005;1;36,9;28,1;8,7;14,0;10,0;2,3;0,5
Dulse;Palmaria palmata;rouge;#990456;1;29,2;24,3;20,8;16,9;7,6;1,3;0,4
Nori;Porphyra (Pyropia) spp.;rouge;#990456;1;36,8;12,8;11,7;30,2;6,7;1,8;0,4
Pioca ou Lichen ou Goémon rouge;Chondrus crispus;rouge;#990456;0;35,5;18,1;15,0;16,7;12,7;1,9;0,3
Ogonori;Gracilaria spp.;rouge;#990456;0;25,4;21,6;23,4;17,8;10,0;1,8;0,2
Maërl;Phymatolithon calcareum;rouge;#990456;0;;93,6;3,5;2,5;0,4;;
Ulve ou Laitue de mer;Ulva spp.;verte;#107069;1;33,5;23,1;13,8;15,7;11,9;1,9;0,5
Ao-nori;Ulva spp. (ex Enteromorpha spp.);verte;#107069;1;35,1;21,4;19,5;13,6;8,0;2,5;0,1
Viande des grisons;sèche;;#0950AD;1;0,0;;0,6;38,9;49,5;5,5;
Morue salée;sèche;;#0950AD;1;0,0;;1,1;47,6;34,2;1,7;
Haricot blanc;sec;;#0950AD;0;15,2;;43,9;23,4;11,3;0,9;
Fève;sèche;;#0950AD;0;25,0;;33,3;26,1;11,0;1,5;
Lentille verte;sèche;;#0950AD;1;16,4;;44,5;25,1;9,5;1,8;
Riz blanc;cru;;#0950AD;0;1,5;;77,5;7,4;12,6;0,8;
Quinoa;cru;;#0950AD;1;7,0;;58,1;14,1;13,3;6,1;
Sarrasin complet;cru;;#0950AD;0;4,0;;67,5;13,3;9,8;3,4;
Soja;graine entière;;#0950AD;1;9,3;;20,9;40,0;8,5;19,9;
Noix de pécan;sans sel ajouté;;#0950AD;0;9,6;;4,3;10,8;3,5;72,0;
Amande;avec peau, sans sel ajouté;;#0950AD;1;12,5;;9,5;22,6;4,8;51,3;
Menthe;séchée;;#0950AD;0;29,8;;22,2;19,9;11,3;6,0;
Persil;séché;;#0950AD;1;29,7;;16,8;29,0;4,0;5,3;
Abricot;dénoyauté, sec;;#0950AD;0;8,3;;59,1;2,9;24,7;0,5;
