ID,Country,Organism group,Step in value chain,Average available turnover in the last 5 years,Number of employees,% of business focused on algae - ESTIMATED,% of business focused on algae - REFERENCE,Is Algae considered the main business stream,,
DE15,Germany,Microalgae,Producing & processing,,,,,n/a,,
DE16,Germany,Spirulina,Producing & processing,,7,100%,,Yes,,
DE17,Germany,Spirulina,Producing & services,"453,587",17,100%,Website,Yes,,
DE18,Germany,Spirulina,Producing,,,,SURVEY,n/a,,
DE19,Germany,Microalgae,Services,,11,100%,,Yes,,
DE20,Germany,Microalgae & Spirulina,Services,,5,100%,SURVEY,Yes,,
DE21,Germany,Microalgae & Spirulina,Services,,,,,n/a,,
DE22,Germany,Microalgae & Spirulina,Services,"14,947,980",148,5%,Website,No,,
DE23,Germany,Microalgae,Services,,13,20%,,No,,
DE24,Germany,Microalgae,Services,"4,734,048,720","18,232",2%,Direct contact,No,,
DE25,Germany,Macroalgae & Microalgae,Processing & services,,,,,n/a,,
DE26,Germany,Microalgae,Services,,,,,n/a,,
DE27,Germany,Microalgae & Spirulina,Processing & services,,241,12%,,No,,
DE28,Germany,Algae sensu lato,Processing,,4,75%,,Yes,,
DE29,Germany,Algae sensu lato,Processing & services,,6,15%,,No,,
DE30,Germany,Algae sensu lato,Services,,15,63%,SURVEY,Yes,,
DE31,Germany,Algae sensu lato,Services,,5,3%,SURVEY - Website,No,,
DE32,Germany,Microalgae,Services,,600,3%,,No,,
DE33,Germany,Microalgae,Services,,,,,n/a,,
DE34,Germany,Microalgae,Services,,,,,n/a,,
DE35,Germany,Microalgae,Services,,,,,n/a,,
DE36,Germany,Microalgae,Services,"1,270,207,903","2,950",2%,Website,No,,
DE37,Germany,Microalgae,Services,"100,076,598",169,2%,Website,No,,
DE38,Germany,Microalgae,Services,,,,,n/a,,
DE39,Germany,Microalgae,Services,,"7,000",2%,,No,,
DE40,Germany,Microalgae,Services,"190,822,737",972,2%,Website,No,,
DK01,Denmark,Macroalgae,Producing & processing,,,,,n/a,,
DK02,Denmark,Macroalgae,Producing & services,996,5,75%,Website,Yes,,
DK03,Denmark,Macroalgae,Producing & processing,,9,33%,,No,,
DK04,Denmark,Macroalgae,Producing & processing,,,,,n/a,,
DK05,Denmark,Macroalgae,Producing & processing,,5,100%,Website,Yes,,
DK06,Denmark,Macroalgae,Producing & processing,,5,100%,Website,Yes,,
DK07,Denmark,Macroalgae,Producing & processing,,1,100%,,Yes,,
DK08,Denmark,Macroalgae,Producing,,2,100%,,Yes,,
DK09,Denmark,Macroalgae,Producing,,,,,n/a,,
DK10,Denmark,Macroalgae,Producing,"22,988",,100%,Old database,Yes,,
DK11,Denmark,Macroalgae,Producing,,0,,,n/a,,
DK12,Denmark,Microalgae,Producing & processing & services,,15,100%,Website,Yes,,
DK13,Denmark,Microalgae,Producing & processing,,5,100%,SURVEY,Yes,,
DK14,Denmark,Macroalgae,Processing,,,,,n/a,,
DK15,Denmark,Microalgae,Processing,,0,,,n/a,,
DK16,Denmark,Macroalgae,Processing,,11,100%,,Yes,,
DK17,Denmark,Microalgae,Services,,,,,n/a,,
DK18,Denmark,Microalgae,Services,"34,665,992",82,2%,Website,No,,
EE01,Estonia,Macroalgae,Producing & processing,"855,025",25,100%,Website,Yes,,
EE02,Estonia,Microalgae & Spirulina,Producing & processing & services,"11,714",5,100%,Website,Yes,,
EE03,Estonia,Macroalgae,Producing & processing,"27,507",5,25%,Internet,No,,
EL01,Greece,Spirulina,Producing & processing,"165,047",5,100%,Website,Yes,,
EL02,Greece,Spirulina,Producing & processing,,,,,n/a,,
EL03,Greece,Spirulina,Producing & processing,,5,100%,Website,Yes,,
EL04,Greece,Spirulina,Producing & processing,,5,100%,Website,Yes,,
EL05,Greece,Spirulina,Producing,,5,100%,Contact person,Yes,,
EL06,Greece,Spirulina,Producing & processing & services,,5,100%,SURVEY,Yes,,
EL07,Greece,Algae sensu lato,Services,,5,88%,SURVEY,Yes,,
ES01,Spain,Macroalgae,Producing & processing,,,,,n/a,,
ES02,Spain,Macroalgae,Producing & processing,"1,144,434",13,100%,Website,Yes,,
ES03,Spain,Macroalgae,Producing & processing,"65,071",1,100%,Internet,Yes,,
ES04,Spain,Macroalgae,Producing & processing,,5,25%,Website,No,,
ES05,Spain,Macroalgae,Producing & processing,"74,488",5,90%,Website,Yes,,
ES06,Spain,Macroalgae,Producing & processing,"21,002",5,100%,Website,Yes,,
ES07,Spain,Macroalgae,Producing & processing,"5,017,840",20,90%,Website,Yes,,
ES08,Spain,Macroalgae,Producing & processing,"94,347",1,100%,Website,Yes,,
ES09,Spain,Macroalgae,Producing & processing,,5,100%,Website,Yes,,
ES10,Spain,Macroalgae,Producing & services,,5,100%,Website,Yes,,
ES11,Spain,Macroalgae,Producing & processing,"121,048",2,33%,Website,No,,
ES12,Spain,Macroalgae,Producing,"2,094",3,100%,Internet,Yes,,
ES13,Spain,Macroalgae,Producing & processing,,,,,n/a,,
ES14,Spain,Macroalgae,Producing & processing,,,,,n/a,,
ES15,Spain,Macroalgae,Producing,,,,,n/a,,
ES16,Spain,Macroalgae,Producing & processing,,,,,n/a,,
ES17,Spain,Macroalgae,Producing & processing,"9,351,493",33,20%,Website,No,,
ES18,Spain,Macroalgae,Producing & processing,"1,585,929",8,10%,Website,No,,
ES19,Spain,Macroalgae,Processing,"311,396",4,10%,Website,No,,
ES20,Spain,Macroalgae,Producing & processing,"80,117",1,5%,Website,No,,
ES21,Spain,Macroalgae,Producing & processing,"1,245,238",3,10%,Website,No,,
ES22,Spain,Microalgae & Spirulina,Producing & services,"95,622",5,100%,Website,Yes,,
ES23,Spain,Microalgae,Producing & processing,"1,075,673",39,100%,Website,Yes,,
ES24,Spain,Microalgae & Spirulina,Producing & processing,"41,765",3,100%,Website,Yes,,
ES25,Spain,Microalgae,Producing & processing,"120,497",11,100%,Website,Yes,,
ES26,Spain,Microalgae & Spirulina,Producing & processing,"1,338,746",15,5%,Website,No,,
ES27,Spain,Microalgae,Producing & processing & services,"2,138,819",25,100%,Website,Yes,,
ES28,Spain,Microalgae,Producing & processing,"200,069",5,100%,Internet,Yes,,
ES29,Spain,Microalgae & Spirulina,Producing & processing & services,"338,801",15,100%,Website,Yes,,
ES30,Spain,Microalgae & Spirulina,Producing & processing,"169,645",,100%,Website,Yes,,
ES31,Spain,Microalgae,Producing,"17,837",1,100%,Internet,Yes,,
ES32,Spain,Microalgae,Producing & processing,"14,551",10,100%,Website,Yes,,
ES33,Spain,Macroalgae & Microalgae,Producing,"10,075",,100%,Internet,Yes,,
ES34,Spain,Macroalgae,Producing & processing,"1,456,921",9,10%,Old database,No,,
ES35,Spain,Microalgae & Spirulina,Producing & processing & services,,5,33%,Website,No,,
ES36,Spain,Macroalgae,Producing,,5,100%,Website,Yes,,
ES37,Spain,Microalgae & Spirulina,Producing & processing & services,,5,90%,Website,Yes,,
ES38,Spain,Microalgae & Spirulina,Producing & processing,,,,,n/a,,
ES39,Spain,Microalgae & Spirulina,Producing,,,,,n/a,,
ES40,Spain,Spirulina,Producing & services,,5,100%,SURVEY,Yes,,
ES41,Spain,Microalgae & Spirulina,Producing & processing,"64,964",1,90%,Website,Yes,,
ES42,Spain,Microalgae & Spirulina,Producing & processing & services,"60,653",5,100%,Website,Yes,,
ES43,Spain,Spirulina,Producing & processing,"409,969",7,100%,Website,Yes,,
ES44,Spain,Spirulina,Producing & processing,,,,,n/a,,
ES45,Spain,Spirulina,Producing & processing,,,,,n/a,,
ES46,Spain,Spirulina,Producing & processing,,,,,n/a,,
ES47,Spain,Spirulina,Producing & processing,"11,430",,100%,Website,Yes,,
ES48,Spain,Spirulina,Producing & processing,,,,,n/a,,
ES49,Spain,Microalgae,Services,,,,,n/a,,
ES50,Spain,Microalgae,Services,"273,548",2,75%,Website,Yes,,
ES51,Spain,Spirulina,Processing,,,,,n/a,,
ES52,Spain,Microalgae & Spirulina,Processing,"803,512",2,100%,Website,Yes,,
ES53,Spain,Microalgae,Services,"2,169,165",32,2%,Website,No,,
ES54,Spain,Microalgae & Spirulina,Processing,"22,926",2,5%,Website,No,,
ES55,Spain,Algae sensu lato,Processing,"2,510,984",20,5%,Website,No,,
ES56,Spain,Macroalgae,Processing,"11,667,438",47,3%,Website,No,,
ES57,Spain,Algae sensu lato,Processing,,,,,n/a,,
ES58,Spain,Macroalgae & Spirulina,Processing,,,,,n/a,,
ES59,Spain,Algae sensu lato,Processing,"274,174",4,33%,Website,No,,
ES60,Spain,Macroalgae,Services,"1,936,831",15,16%,Website,No,,
ES61,Spain,Macroalgae,Processing & services,"550,690",5,5%,Website,No,,
ES62,Spain,Algae sensu lato,Processing,"1,274,830",12,90%,Website,Yes,,
ES63,Spain,Macroalgae,Processing,"482,679",1,100%,Website,Yes,,
ES64,Spain,Macroalgae & Microalgae,Processing,"1,172,356",6,10%,Website,No,,
ES65,Spain,Macroalgae,Processing,"13,416,788",44,25%,Website,No,,
ES66,Spain,Microalgae,Services,"2,949,068",36,5%,Website,No,,
ES67,Spain,Microalgae,Processing,"67,398,004",173,2%,Website,No,,
ES68,Spain,Macroalgae,Processing,"16,115,307",72,3%,Website,No,,
ES69,Spain,Macroalgae & Microalgae,Services,"454,359",1,5%,Website,No,,
ES70,Spain,Microalgae,Services,"19,097,298",,2%,Website,No,,
ES71,Spain,Macroalgae,Processing,"11,963,209",64,25%,Website,No,,
ES72,Spain,Macroalgae,Processing,"2,250,070",7,5%,Website,No,,
ES73,Spain,Macroalgae,Processing,"128,885",8,100%,Website,Yes,,
ES74,Spain,Macroalgae,Processing,,,,,n/a,,
ES75,Spain,Macroalgae,Processing,"104,429",2,9%,Website,No,,
ES76,Spain,Macroalgae,Processing,"1,364,513",7,2%,Website,No,,
ES77,Spain,Macroalgae,Processing,"113,177,021",72,3%,Website,No,,
ES78,Spain,Algae sensu lato,Processing,"8,274,976",32,3%,Website,No,,
ES79,Spain,Macroalgae,Processing,"1,646,611",5,6%,Website,No,,
FI01,Finland,Microalgae,Services,"3,997,500",18,15%,Website,No,,
FO01,Faroe Islands,Macroalgae,Producing & processing,,,,,n/a,,
FO02,Faroe Islands,Macroalgae,Producing & processing,,,,,n/a,,
FR01,France,Macroalgae,Producing & processing,"7,897,620",50,100%,Website,Yes,,
FR02,France,Macroalgae,Producing & processing,"1,426,535",18,50%,Internet,Yes,,
FR03,France,Macroalgae,Producing & processing,,,,,n/a,,
FR04,France,Macroalgae,Producing & processing,,,,,n/a,,
FR05,France,Macroalgae,Producing & processing,,,,,n/a,,
FR06,France,Macroalgae,Producing & processing,,5,100%,Internet,Yes,,
FR07,France,Macroalgae,Producing & processing,,,,,n/a,,
FR08,France,Macroalgae,Producing & processing,"578,700",,100%,Website,Yes,,
FR09,France,Macroalgae,Producing & processing,,,,,n/a,,
FR10,France,Macroalgae,Producing & processing,,,,,n/a,,
FR100,France,Spirulina,Producing & processing,,,,,n/a,,
FR101,France,Spirulina,Producing & processing,"180,000",5,100%,Website,Yes,,
FR102,France,Spirulina,Producing & processing,,,,,n/a,,
FR103,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR104,France,Spirulina,Producing & processing,,,,,n/a,,
FR105,France,Spirulina,Producing & processing,"350,000",,100%,Website,Yes,,
FR106,France,Spirulina,Producing & processing,"240,000",,100%,Website,Yes,,
FR107,France,Spirulina,Producing & processing,,,,,n/a,,
FR108,France,Spirulina,Producing & processing,"12,250",,90%,Website,Yes,,
FR109,France,Spirulina,Producing & processing,"290,000",,50%,Website,Yes,,
FR11,France,Macroalgae,Producing & processing,"22,191,472",191,33%,Website,No,,
FR110,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR111,France,Spirulina,Producing & processing,,,,,n/a,,
FR112,France,Spirulina,Producing & processing,"280,000",,90%,Website,Yes,,
FR113,France,Spirulina,Producing & processing,,,,,n/a,,
FR114,France,Spirulina,Producing & processing,,,,,n/a,,
FR115,France,Spirulina,Producing & processing,,5,100%,Website,Yes,,
FR116,France,Spirulina,Producing & processing,"215,000",,100%,Website,Yes,,
FR117,France,Spirulina,Producing & processing,,,,,n/a,,
FR118,France,Spirulina,Producing & processing,,,,,n/a,,
FR119,France,Spirulina,Producing & processing,,,,,n/a,,
FR12,France,Macroalgae,Producing & processing,,,,,n/a,,
FR120,France,Spirulina,Producing & processing,,,,,n/a,,
FR121,France,Spirulina,Producing & processing,"130,000",,100%,Website,Yes,,
FR122,France,Spirulina,Producing & processing,,,,,n/a,,
FR123,France,Spirulina,Producing & processing,"175,000",5,100%,Website,Yes,,
FR124,France,Spirulina,Producing & processing,"65,000",,100%,Website,Yes,,
FR125,France,Spirulina,Producing & processing,,,,,n/a,,
FR126,France,Spirulina,Producing & processing,,,,,n/a,,
FR127,France,Spirulina,Producing & processing,,,,,n/a,,
FR128,France,Spirulina,Producing & processing,,,,,n/a,,
FR129,France,Spirulina,Producing & processing,,,,,n/a,,
FR13,France,Macroalgae,Producing & processing,"47,623,666",214,40%,Website,No,,
FR130,France,Spirulina,Producing & processing,,,,,n/a,,
FR131,France,Spirulina,Producing & processing & services,,5,100%,Website,Yes,,
FR132,France,Spirulina,Producing & processing,"345,232",,100%,Website,Yes,,
FR133,France,Spirulina,Producing & processing,,,,,n/a,,
FR134,France,Spirulina,Producing & processing,"175,000",,100%,Website,Yes,,
FR135,France,Spirulina,Producing & processing,,5,100%,Website,Yes,,
FR136,France,Spirulina,Producing & processing,,,,,n/a,,
FR137,France,Spirulina,Producing & processing,,,,,n/a,,
FR138,France,Spirulina,Producing & processing & services,,5,100%,Website,Yes,,
FR139,France,Spirulina,Producing & processing,,,,,n/a,,
FR14,France,Macroalgae,Producing & processing & services,,5,100%,Website,Yes,,
FR140,France,Spirulina,Producing & processing,,,,,n/a,,
FR141,France,Spirulina,Producing & processing,,,,,n/a,,
FR142,France,Spirulina,Producing & processing,"31,591",,100%,Website,Yes,,
FR143,France,Spirulina,Producing & processing,,,,,n/a,,
FR144,France,Spirulina,Producing & processing,,5,50%,Internet,Yes,,
FR145,France,Spirulina,Producing & processing,,,,,n/a,,
FR146,France,Spirulina,Producing & processing,"320,000",,100%,Website,Yes,,
FR147,France,Spirulina,Producing & processing,,,,,n/a,,
FR148,France,Spirulina,Producing & processing,,,,,n/a,,
FR149,France,Spirulina,Producing & processing,,,,,n/a,,
FR15,France,Macroalgae,Producing & processing,"6,458,500",,100%,Website,Yes,,
FR150,France,Spirulina,Producing & processing,,,,,n/a,,
FR151,France,Spirulina,Producing & processing,"70,000",,100%,Website,Yes,,
FR152,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR153,France,Spirulina,Producing & processing & services,,5,100%,Website,Yes,,
FR154,France,Spirulina,Producing & processing,"695,556",,100%,Website,Yes,,
FR155,France,Spirulina,Producing & processing,"160,000",,100%,Website,Yes,,
FR156,France,Microalgae & Spirulina,Processing,"16,284,993",46,10%,Website,No,,
FR157,France,Spirulina,Producing & processing,"158,636",6,33%,Website,No,,
FR158,France,Spirulina,Producing & processing,,,,,n/a,,
FR159,France,Spirulina,Producing & processing,"280,000",,90%,Website,Yes,,
FR16,France,Macroalgae,Producing & processing & services,,40,66%,Website,Yes,,
FR160,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR161,France,Spirulina,Producing & processing,"126,667",,100%,Website,Yes,,
FR162,France,Spirulina,Producing & processing,,,,,n/a,,
FR163,France,Spirulina,Producing & processing,,,,,n/a,,
FR164,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR165,France,Spirulina,Producing & processing,"100,000",,100%,Website,Yes,,
FR166,France,Spirulina,Producing & processing,"290,000",,100%,Website,Yes,,
FR167,France,Spirulina,Producing & processing,"350,000",,100%,Website,Yes,,
FR168,France,Spirulina,Producing & processing,"350,000",,100%,Website,Yes,,
FR169,France,Spirulina,Producing & processing,"350,000",,50%,Website,Yes,,
FR17,France,Macroalgae,Producing & processing & services,"11,097,166",84,90%,Website,Yes,,
FR170,France,Spirulina,Producing & processing,"250,000",,100%,Website,Yes,,
FR171,France,Macroalgae,Processing,"195,215",2,100%,Website,Yes,,
FR172,France,Microalgae,Services,,,,,n/a,,
FR173,France,Macroalgae & Microalgae,Services,"310,000",,100%,Website,Yes,,
FR174,France,Algae sensu lato,Processing & services,"114,940",,100%,Website,Yes,,
FR175,France,Microalgae,Services,,,,,n/a,,
FR176,France,Macroalgae,Processing,"1,889,951,798",742,3%,Website,No,,
FR177,France,Macroalgae,Services,"115,000",5,100%,Website,Yes,,
FR178,France,Macroalgae & Spirulina,Processing,"135,774",,33%,Website,No,,
FR179,France,Algae sensu lato,Processing,,,,,n/a,,
FR18,France,Macroalgae,Producing & processing,,5,100%,Website,Yes,,
FR180,France,Microalgae,Services,"7,530,300",71,8%,Website,No,,
FR181,France,Macroalgae,Services,,5,88%,SURVEY,Yes,,
FR182,France,Microalgae,Services,"1,088,639,605","2,175",2%,Website,No,,
FR183,France,Algae sensu lato,Services,,,,,n/a,,
FR184,France,Microalgae,Services,"12,852,498",47,2%,Website,No,,
FR19,France,Macroalgae,Producing & processing,"265,017",5,100%,Website,Yes,,
FR20,France,Macroalgae,Producing,"25,967,004",52,100%,Website,Yes,,
FR21,France,Macroalgae,Producing & processing,"825,592",5,63%,Website,Yes,,
FR22,France,Macroalgae,Producing & processing,,,,,n/a,,
FR23,France,Macroalgae,Producing & processing,,,,,n/a,,
FR24,France,Macroalgae,Producing & processing,,,,,n/a,,
FR25,France,Macroalgae,Producing & processing,,,,,n/a,,
FR26,France,Microalgae,Producing & processing & services,"60,000",,100%,Website,Yes,,
FR27,France,Microalgae,Producing & processing,"2,234,500",65,100%,Website,Yes,,
FR28,France,Microalgae,Producing & processing,"220,600",5,90%,Website,Yes,,
FR29,France,Microalgae,Producing & processing,"1,796,355",15,100%,Website,Yes,,
FR30,France,Microalgae,Producing & processing,"1,198,852",,100%,Website,Yes,,
FR31,France,Microalgae & Spirulina,Producing & processing & services,"417,732",25,100%,Website,Yes,,
FR32,France,Macroalgae & Microalgae,Producing & processing,"134,639",1,100%,Internet,Yes,,
FR33,France,Microalgae,Producing & processing & services,"113,714",15,50%,Website,Yes,,
FR34,France,Macroalgae,Producing & processing,,,,,n/a,,
FR35,France,Macroalgae,Producing & processing,,5,25%,SURVEY,No,,
FR36,France,Microalgae,Producing,,5,100%,SURVEY,Yes,,
FR37,France,Spirulina,Producing & processing,"350,000",,100%,Website,Yes,,
FR38,France,Spirulina,Producing & processing,"175,000",,100%,Website,Yes,,
FR39,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR40,France,Spirulina,Producing & processing,,,,,n/a,,
FR41,France,Spirulina,Producing & processing,"350,000",,100%,Website,Yes,,
FR42,France,Spirulina,Producing & processing,"170,000",,100%,Website,Yes,,
FR43,France,Spirulina,Producing & processing,,,,,n/a,,
FR44,France,Spirulina,Producing & processing,,,,,n/a,,
FR45,France,Spirulina,Producing & processing,"420,000",,100%,Website,Yes,,
FR46,France,Spirulina,Producing & processing,,,,,n/a,,
FR47,France,Spirulina,Producing & processing,,,,,n/a,,
FR48,France,Spirulina,Producing & processing,,,,,n/a,,
FR49,France,Spirulina,Producing & processing,"155,000",,100%,Website,Yes,,
FR50,France,Spirulina,Producing & processing,,,,,n/a,,
FR51,France,Spirulina,Producing & processing,,,,,n/a,,
FR52,France,Spirulina,Producing & processing,,,,,n/a,,
FR53,France,Spirulina,Producing & processing,,5,100%,Website,Yes,,
FR54,France,Spirulina,Producing & processing,,,,,n/a,,
FR55,France,Spirulina,Producing & processing,,5,100%,Website,Yes,,
FR56,France,Spirulina,Producing & processing,,,,,n/a,,
FR57,France,Spirulina,Producing & processing,"175,000",,100%,Website,Yes,,
FR58,France,Spirulina,Producing & processing,,,,,n/a,,
FR59,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR60,France,Spirulina,Producing & processing,"8,394",,100%,Website,Yes,,
FR61,France,Spirulina,Producing & processing,"175,000",5,100%,Website,Yes,,
FR62,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR63,France,Spirulina,Producing & processing,,,,,n/a,,
FR64,France,Spirulina,Producing & processing,"165,000",,100%,Internet,Yes,,
FR65,France,Microalgae & Spirulina,Producing & processing,"413,707",1,100%,Website,Yes,,
FR66,France,Spirulina,Producing & processing,"165,000",,100%,Website,Yes,,
FR67,France,Spirulina,Producing & processing,"170,000",,100%,Website,Yes,,
FR68,France,Spirulina,Producing & processing,,,,,n/a,,
FR69,France,Spirulina,Producing & processing,,,,,n/a,,
FR70,France,Spirulina,Producing & processing,,,,,n/a,,
FR71,France,Spirulina,Producing & processing,,,,,n/a,,
FR72,France,Spirulina,Producing & processing,,,,,n/a,,
FR73,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR74,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR75,France,Spirulina,Producing & processing,"280,000",5,100%,Website,Yes,,
FR76,France,Spirulina,Producing & processing,,,,,n/a,,
FR77,France,Spirulina,Producing & processing,,,,,n/a,,
FR78,France,Spirulina,Producing & processing,"205,000",,100%,Website,Yes,,
FR79,France,Spirulina,Producing & processing,,,,,n/a,,
FR80,France,Spirulina,Producing & processing,"757,500",,100%,Website,Yes,,
FR81,France,Spirulina,Producing & processing,,,,,n/a,,
FR82,France,Spirulina,Producing & processing,"22,683",,100%,Internet,Yes,,
FR83,France,Spirulina,Producing & processing,"110,000",,100%,Website,Yes,,
FR84,France,Spirulina,Producing & processing,,,,,n/a,,
FR85,France,Spirulina,Producing & processing,,,,,n/a,,
FR86,France,Spirulina,Producing & processing,,,,,n/a,,
FR87,France,Spirulina,Producing & processing,"310,000",,100%,Website,Yes,,
FR88,France,Spirulina,Producing & processing,,,,,n/a,,
FR89,France,Spirulina,Producing & processing,"123,333",5,100%,Website,Yes,,
FR90,France,Spirulina,Producing & processing,,,,,n/a,,
FR91,France,Spirulina,Producing & processing,,,,,n/a,,
FR92,France,Spirulina,Producing & processing,,,,,n/a,,
FR93,France,Spirulina,Producing & processing,"280,000",,90%,Website,Yes,,
FR94,France,Spirulina,Producing & processing,,,,,n/a,,
FR95,France,Spirulina,Producing & processing,,,,,n/a,,
FR96,France,Spirulina,Producing & processing,"280,000",,100%,Website,Yes,,
FR97,France,Spirulina,Producing & processing,"140,000",,90%,Website,Yes,,
FR98,France,Spirulina,Producing & processing,"130,000",,100%,Website,Yes,,
FR99,France,Spirulina,Producing & processing,"280,000",,100%,Internet,Yes,,
GR01,Greenland,Macroalgae,Producing & processing & services,"802,379,100","2,200",0%,"Based on Catches landed to Royal Greenland in Greenland (tonnes) from the annual 2020 report.
https://www.royalgreenland.com/royal-greenland/about-royal-greenland/facts-and-figures/",No,,
HR01,Croatia,Microalgae,Producing,,,,,n/a,,
HR02,Croatia,Microalgae,Producing & processing & services,"10,210",5,63%,SURVEY,Yes,,
HU01,Hungary,Microalgae,Producing & processing & services,"498,585",5,100%,Website,Yes,,
IE01,Ireland,Macroalgae,Producing & processing,,4,100%,,Yes,,
IE02,Ireland,Macroalgae,Producing,,,,,n/a,,
IE03,Ireland,Macroalgae,Producing & processing & services,,25,100%,Website,Yes,,
IE04,Ireland,Macroalgae,Producing & processing,,40,100%,Website,Yes,,
IE05,Ireland,Macroalgae,Producing & processing,,5,100%,,Yes,,
IE06,Ireland,Macroalgae,Producing & processing & services,,5,100%,Website,Yes,,
IE07,Ireland,Macroalgae,Producing & processing,,32,100%,,Yes,,
IE08,Ireland,Macroalgae,Producing & processing,"3,979,470",31,100%,Website,Yes,,
IE09,Ireland,Macroalgae,Producing & processing & services,,5,100%,Website,Yes,,
IE10,Ireland,Macroalgae,Producing & processing,"1,326,852",5,90%,Website,Yes,,
IE11,Ireland,Macroalgae,Producing & processing,,2,100%,,Yes,,
IE12,Ireland,Macroalgae,Producing & processing,,15,100%,Website,Yes,,
IE13,Ireland,Macroalgae,Producing & processing,,20,100%,,Yes,,
IE14,Ireland,Macroalgae,Producing & processing,,,,,n/a,,
IE15,Ireland,Macroalgae,Producing & processing,,,,,n/a,,
IE16,Ireland,Macroalgae,Producing & processing,,2,100%,,Yes,,
IE17,Ireland,Macroalgae,Producing & processing,,25,100%,,Yes,,
IE18,Ireland,Macroalgae,Producing & processing,,,,,n/a,,
IE19,Ireland,Macroalgae,Producing & processing,,,,,n/a,,
IE20,Ireland,Macroalgae,Producing & processing,,,,,n/a,,
IE21,Ireland,Macroalgae,Producing & processing,,,,,n/a,,
IE22,Ireland,Macroalgae,Producing & processing,"35,096,854",119,63%,Website,Yes,,
IE23,Ireland,Macroalgae,Producing & processing,,5,100%,Website,Yes,,
