ID,Country,Organism group,Step in value chain,Average available turnover in the last 5 years,Number of employees,% of business focused on algae - ESTIMATED,% of business focused on algae - REFERENCE,Is Algae considered the main business stream,,
AT01,Austria,Microalgae,Producing & processing,"16,061",15,100%,Website,Yes,,
AT02,Austria,Microalgae & Spirulina,Producing & processing,,15,100%,Website,Yes,,
AT03,Austria,Spirulina,Producing & processing & services,,5,100%,Website,Yes,,
AT04,Austria,Microalgae,Services,"6,350,815,930","27,232",2%,Website,No,,
AT05,Austria,Macroalgae,Processing,"6,754,249",37,33%,Website,No,,
AT06,Austria,Microalgae,Services,"88,460,310",292,2%,Website,No,,
BE01,Belgium,Microalgae,Producing & processing & services,,,,,n/a,,
BE02,Belgium,Microalgae,Producing,"552,097",5,100%,Website,Yes,,
BE03,Belgium,Spirulina,Producing & processing,,,,,n/a,,
BE04,Belgium,Algae sensu lato,Processing & services,"16,486,171",101,5%,Website,No,,
BE05,Belgium,Microalgae,Services,,13,5%,,No,,
BE06,Belgium,Macroalgae,Processing,,3,5%,,No,,"31,689,660"
BG01,Bulgaria,Spirulina,Producing & processing,"27,865",8,100%,Website,Yes,,
CH01,Switzerland,Spirulina,Producing & processing,"4,354,673",4,100%,Website,Yes,,
CH02,Switzerland,Macroalgae & Microalgae,Processing,,1,30%,,No,,
CH03,Switzerland,Microalgae,Services,,160,5%,,No,,
CH04,Switzerland,Microalgae,Processing,,1,100%,,Yes,,
CH05,Switzerland,Microalgae,Services,,75,5%,,No,,
CH06,Switzerland,Microalgae,Services,"2,975,847,893","15,054",2%,Website,No,,
CH07,Switzerland,Microalgae,Services,"443,466",4,2%,Website,No,,
CH08,Switzerland,Microalgae,Services,,160,5%,,No,,
CH09,Switzerland,Microalgae & Spirulina,Services,"435,467",160,2%,Website,No,,
CH10,Switzerland,Microalgae,Services,,160,5%,,No,,
CZ01,Czech Republic,Microalgae & Spirulina,Producing & processing & services,"568,715",4,50%,Website,Yes,,
CZ02,Czech Republic,Microalgae,Producing & processing,"1,072,922",21,100%,Website,Yes,,
DE01,Germany,Microalgae & Spirulina,Producing & processing,,4,100%,,Yes,,
DE02,Germany,Microalgae & Spirulina,Producing & processing,,15,100%,Website,Yes,,
DE03,Germany,Microalgae & Spirulina,Producing & processing,"175,000",4,20%,Website,No,,
DE04,Germany,Microalgae & Spirulina,Producing & processing & services,,1,100%,,Yes,,
DE05,Germany,Microalgae & Spirulina,Producing & processing,,48,100%,,Yes,,
DE06,Germany,Microalgae,Producing & processing,,5,100%,Website,Yes,,
DE07,Germany,Spirulina,Producing,,5,100%,Website,Yes,,
DE08,Germany,Microalgae & Spirulina,Producing & processing,,9,90%,,Yes,,
DE09,Germany,Microalgae & Spirulina,Producing & services,,1,100%,,Yes,,
DE10,Germany,Microalgae,Producing & processing & services,,,,,n/a,,
DE11,Germany,Microalgae & Spirulina,Producing & processing,,1,100%,,Yes,,
DE12,Germany,Microalgae & Spirulina,Producing & processing,,,,,n/a,,
DE13,Germany,Microalgae & Spirulina,Producing & processing,,3,100%,,Yes,,
DE14,Germany,Microalgae,Producing & processing,,3,100%,,Yes,,
