ID_Site;Owner_name;Country;Lat;Long;Pos_info
AT01;BDI-BioLife Science GmbH;Austria;47,258501;15,970157;Confirmed
AT02;Ecoduna;Austria;48,034771;16,815236;Confirmed
BE01;Proviron;Belgium;51,13375;4,341306;Confirmed
BE02;Tomalgae;Belgium;51,032178;3,540922;Confirmed
CZ01;EcoFuel Labs;Czech Republic;50,104569;14,489265;Confirmed
DE01;Algenland;Germany;50,609051;8,655781;Estimated
DE02;Roquette Klötze GmbH & Co. KG;Germany;52,640915;11,183202;Confirmed
DE03;Algova;Germany;52,64331;10,257612;Confirmed
DE04;Astaxa;Germany;50,518019;10,430457;Estimated
DE05;BlueBioTech;Germany;53,828998;9,97393;Estimated
DE06;Cyano Biotech GmbH;Germany;52,426966;13,536295;Confirmed
DE07;Dr. Eberhard Bioenergie;Germany;53,378578;11,592057;Confirmed
DE08;MIAL;Germany;53,157455;8,067631;Estimated
DE09;NOVAgreen;Germany;52,787482;8,261759;Estimated
DE10;Phytolutions;Germany;53,168497;8,650655;Estimated
DE11;Sea & Sun Organic;Germany;54,041378;10,209909;Estimated
DE12;Alga Pangea;Germany;47,080691;16,318428;Estimated
DE13;INALGO Dresden I GmbH;Germany;51,477613;14,341869;Confirmed
DK01;Danish Seaweed;Denmark;55,916972;11,644222;Confirmed
DK02;Falconi Mare ApS;Denmark;55,21163;11,19804;Confirmed
DK03;Hjarnø Fish Farm;Denmark;55,819701;10,036009;Confirmed
DK04;Kattegat Seaweed;Denmark;56,409016;10,92476;Estimated
DK05;Maki Seaweed Greenland;Denmark;66,931528;-53,672278;Estimated
DK06;Nordisk Tang - Nordic Seaweed Aps;Denmark;56,419737;10,883665;Confirmed
DK07;Omø Fisk & Tang;Denmark;55,170861;11,158639;Confirmed
DK08;Organic Seaweed;Denmark;56,242298;10,489349;Estimated
EE01;EstAgar;Estonia;58,321389;22,251944;Confirmed
EE02;Power Algae;Estonia;58,388399;26,69245;Confirmed
EE03;Tinurek OÜ;Estonia;58,60816;22,908037;Confirmed
ES01;Agrogalicia;Spain;42,431053;-8,644508;Estimated
ES02;Algades;Spain;36,530376;-6,212558;Confirmed
ES03;AlgaEnergy;Spain;36,752528;-5,810944;Confirmed
ES04;Algalimento;Spain;27,814947;-15,42338;Estimated
ES05;Algamar;Spain;42,292481;-8,550022;Estimated
ES06;Algatek;Spain;43,169205;-6,098728;Estimated
ES07;BIORIZON BIOTECH;Spain;36,877923;-2,322979;Confirmed
ES08;Ceamsa;Spain;42,123373;-8,626096;Estimated
ES09;Fitoplancton marino, SL.;Spain;36,588556;-6,227222;Confirmed
ES10;GALURIÑA;Spain;42,79114;-8,984719;Confirmed
ES11;HQ SEAWEED S.L.;Spain;42,235033;-8,701249;Confirmed
ES12;INVESTALGA AHTI SL;Spain;43,334226;-4,054553;Confirmed
ES13;Monzon Biotech SL;Spain;41,973428;0,154252;Confirmed
ES14;NEOALGAE MICRO SEAWEED PRODUCTS SL;Spain;43,523222;-5,701833;Confirmed
ES15;Porto-Muiños;Spain;43,173572;-8,476032;Estimated
ES16;Suralgas;Spain;36,272304;-5,963614;Estimated
